"id_categorie";"code_section";"libelle_section";"sous_categorie";"numero_item"
"1";"A";"MISSION DES VISAS DES ETUDES D'EXECUTION";NULL;NULL
"2";"A";"MISSION DES VISAS DES ETUDES D'EXECUTION";NULL;NULL
"3";"A";"MISSION DES VISAS DES ETUDES D'EXECUTION";NULL;NULL
"4";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"1"
"5";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"2"
"6";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"3"
"7";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"3"
"8";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"4"
"9";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"5"
"10";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"6"
"11";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"7"
"12";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"8"
"13";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"9"
"14";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"10"
"15";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"11"
"16";"B";"SUIVI ET CONTROLE DES TRAVAUX";NULL;"12"
"17";"C";"EQUIPE DE CONTROLE ET PERSONNEL D'APPUI";NULL;"1"
"18";"C";"EQUIPE DE CONTROLE ET PERSONNEL D'APPUI";NULL;"2"
"19";"C";"EQUIPE DE CONTROLE ET PERSONNEL D'APPUI";NULL;"3"
"20";"C";"EQUIPE DE CONTROLE ET PERSONNEL D'APPUI";NULL;"4"
"21";"C";"EQUIPE DE CONTROLE ET PERSONNEL D'APPUI";NULL;"5"
"22";"C";"EQUIPE DE CONTROLE ET PERSONNEL D'APPUI";NULL;"6"
"23";"C";"EQUIPE DE CONTROLE ET PERSONNEL D'APPUI";NULL;"7"
"24";"C";"EQUIPE DE CONTROLE ET PERSONNEL D'APPUI";NULL;"8"
"25";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"D1-2"
"26";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"D2"
"27";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"D3"
"28";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"22"
"29";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"23"
"30";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"24"
"31";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"25"
"32";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"26"
"33";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"27"
"34";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"28"
"35";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"29"
"36";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"30"
"37";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"31"
"38";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"32"
"39";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"33"
"40";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"34"
"41";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"35"
"42";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"36"
"43";"D";"FONCTIONNEMENT DE LA MISSION";NULL;"36"
