"id_cout";"prix_revient_site_eur";"prix_revient_siege_eur";"prix_revient_total_eur";"taux_fg";"cout_fg_dt";"marge_sous_traitant_dt";"cout_final_dt";"marge_brute_eur";"marge_brute_pct";"marge_nette_eur";"marge_nette_pct"
"1";"15000.000000";NULL;"15000.000000";"0.050000";"750.000000";"17066.814213";"48750.000000";"5251.327450";"0.050000";"4501.327000";"0.222273"
"2";"8000.000000";NULL;"8000.000000";"0.050000";"400.000000";"8127.236998";"26000.000000";"2500.688307";"0.050000";"2100.688000";"0.200052"
"3";"5000.000000";NULL;"5000.000000";"0.050000";"250.000000";"5688.938070";"16250.000000";"1750.442483";"0.050000";"1500.442000";"0.222273"
"4";"4500.000000";NULL;"130500.000000";"0.050000";"6525.000000";"160234.569300";"424125.000000";"49302.944400";"0.050000";"42777.944000";"0.237916"
"5";"2286.735259";NULL;"59455.117000";"0.050000";"2972.755850";"96614.563773";"193229.130250";"29727.558084";"0.050000";"26754.802000";"0.300000"
"6";"2286.735259";NULL;"32014.294000";"0.050000";"1600.714700";"73526.159779";"104046.455500";"22623.433778";"0.050000";"21022.719000";"0.384766"
"7";"2134.286241";NULL;"55491.442000";"0.050000";"2774.572100";"97902.759763";"180347.186500";"30123.926081";"0.050000";"27349.354000";"0.319444"
"8";"2134.286241";NULL;"55491.442000";"0.050000";"2774.572100";"77291.652630";"180347.186500";"23782.046963";"0.050000";"21007.475000";"0.265000"
"9";"2286.735259";NULL;"59455.117000";"0.050000";"2972.755850";"95326.369577";"193229.130250";"29331.190639";"0.050000";"26358.435000";"0.296875"
"10";"1333.928901";NULL;"8003.573405";"0.000000";"0.000000";"0.000000";"26011.613566";"0.000000";"0.000000";"0.000000";"0.000000"
"11";"1333.928901";NULL;"8003.573405";"0.000000";"0.000000";"0.000000";"26011.613566";"0.000000";"0.000000";"0.000000";"0.000000"
"12";"1981.837224";NULL;"19818.372000";"0.050000";"990.918600";"39636.745265";"64409.709000";"12195.921620";"0.050000";"11205.003000";"0.350000"
"13";"762.245086";NULL;"19818.372241";"0.050000";"990.918612";"59256.933002";"64409.709783";"18232.902462";"0.050000";"17241.984000";"0.453125"
"14";"762.245086";NULL;"19818.372241";"0.050000";"990.918612";"59256.933002";"64409.709783";"18232.902462";"0.050000";"17241.984000";"0.453125"
"15";"762.245086";NULL;"19818.372241";"0.050000";"990.918612";"59256.933002";"64409.709783";"18232.902462";"0.050000";"17241.984000";"0.453125"
"16";"762.245086";NULL;"10671.431207";"0.050000";"533.571560";"31907.579308";"34682.151423";"9817.716710";"0.050000";"9284.145000";"0.453125"
"17";"2454.429178";NULL;"63815.158616";"0.050000";"3190.757931";"35425.340379";"207399.265502";"10900.104732";"0.050000";"7709.347000";"0.103183"
"18";"1227.214589";NULL;"31907.579308";NULL;NULL;"8373.262271";"103699.632751";"2576.388391";NULL;NULL;NULL
"19";"2606.878195";NULL;"67778.833064";"0.050000";"3388.941653";"35940.618058";"220281.207458";"11058.651710";"0.050000";"7669.710000";"0.097285"
"20";"1364.418704";NULL;"35474.886311";NULL;NULL;"11529.338051";"115293.380511";"3547.488631";NULL;NULL;NULL
"21";"1372.041155";NULL;"35673.070034";"0.050000";"1783.653502";"57968.738805";"115937.477611";"17836.535017";"0.050000";"16052.882000";"0.300000"
"22";"8400.000000";NULL;"8400.000000";"0.050000";"420.000000";"2730.000000";"27300.000000";"840.000000";"0.050000";"420.000000";"0.045455"
"23";"381.122543";NULL;"9909.186000";"0.050000";"495.459300";"6440.971371";"32204.854500";"1981.837345";"0.050000";"1486.378000";"0.125000"
"24";"1829.388207";NULL;"47564.093000";"0.050000";"2378.204650";"61833.322619";"154583.302250";"19025.637729";"0.050000";"16647.433000";"0.250000"
"25";"38112.254309";NULL;"114336.762928";NULL;NULL;"0.000000";"371594.479516";"0.000000";NULL;NULL;NULL
"26";"1676.352847";NULL;"43585.174028";NULL;NULL;"46047.987902";"141651.815591";"14168.611662";NULL;NULL;NULL
"27";"1026.099154";NULL;"26678.578017";NULL;NULL;"37775.799328";"86705.378555";"11623.322870";NULL;NULL;NULL
"28";"51527.767826";NULL;"51527.767826";"0.050000";"2576.388391";"33493.049086";"167465.245435";"10305.553565";"0.050000";"7729.165000";"0.125000"
"29";"10500.000000";NULL;"10500.000000";"0.050000";"525.000000";"8775.000000";"34125.000000";"2700.000000";"0.050000";"2175.000000";"0.164773"
"30";"615.384615";NULL;"3076.923077";"0.050000";"153.846154";"3000.000000";"10000.000000";"923.076923";"0.050000";"769.231000";"0.192308"
"31";"640.285872";NULL;"1280.571745";"0.050000";"64.028587";"1248.557450";"4161.858171";"384.171523";"0.050000";"320.143000";"0.192308"
"32";"686.020578";NULL;"1372.041155";"0.050000";"68.602058";"1337.740128";"4459.133754";"411.612347";"0.050000";"343.010000";"0.192308"
"33";"1676.939190";NULL;"1676.939190";"0.050000";"83.846960";"1635.015710";"5450.052368";"503.081757";"0.050000";"419.235000";"0.192308"
"34";"29911.799020";NULL;"29911.799020";"0.050000";"1495.589951";"29164.004045";"97213.346815";"8973.539706";"0.050000";"7477.950000";"0.192308"
"35";"600.000000";NULL;"15600.000000";"0.050000";"780.000000";"12675.000000";"50700.000000";"3900.000000";"0.050000";"3120.000000";"0.160000"
"36";"500.000000";NULL;"13000.000000";"0.050000";"650.000000";"8450.000000";"42250.000000";"2600.000000";"0.050000";"1950.000000";"0.125000"
"37";"9440.000000";NULL;"9440.000000";"0.050000";"472.000000";"12796.554105";"30680.000000";"3937.401263";"0.050000";"3465.401000";"0.259049"
"38";"7540.000000";NULL;"7540.000000";"0.050000";"377.000000";"7248.986924";"24505.000000";"2230.457515";"0.050000";"1853.458000";"0.189700"
"39";"2220.000000";NULL;"2220.000000";"0.050000";"111.000000";"1937.000000";"7215.000000";"596.000000";"0.050000";"485.000000";"0.172230"
"40";"250.000000";NULL;"250.000000";"0.050000";"12.500000";"163.767880";"812.500000";"50.390117";"0.050000";"37.890000";"0.126136"
"41";"6097.960689";NULL;"6097.960689";"0.050000";"304.898034";"1981.837224";"19818.372239";"609.796069";"0.050000";"304.898000";"0.045455"
"42";"34344.619541";NULL;"34344.619541";"0.000000";"34344.620000";"0.000000";"34344.620000";"0.000000";NULL;"0.000000";"0.000000"
"43";"45734.705171";NULL;"45734.705171";"0.000000";"45734.705000";"0.000000";"45734.705000";"0.000000";"0.000000";"0.000000";"0.000000"
