id_coutt;prix_revient_site_eur;prix_revient_siege_eur;prix_revient_total_eur;taux_fg;cout_fg_dt;marge_sous_traitant_dt;cout_final_dt;marge_brute_eur;marge_brute_pct;marge_nette_eur;marge_nette_pct;detail_revient;nb_lignes_detail;somme_detail_revient;formule_excel_prix_euro;pu_site_calcule;ecart_prix_total_eur;statut_controle
1;15000.0;NULL;15000.0;0.05;750.0;17066.814213;48750.0;5251.32745;0.05;4501.327;0.222273;3000 + 12000;2;15000.0;SUM(O11:O12);15000.0;0.0;OK
2;8000.0;NULL;8000.0;0.05;400.0;8127.236998;26000.0;2500.688307;0.05;2100.688;0.200052;2000 + 2000 + 4000;3;8000.0;SUM(O14:O16);8000.0;0.0;OK
3;5000.0;NULL;5000.0;0.05;250.0;5688.93807;16250.0;1750.442483;0.05;1500.442;0.222273;2000 + 3000;2;5000.0;SUM(O18:O19);5000.0;0.0;OK
4;4500.0;NULL;130500.0;0.05;6525.0;160234.5693;424125.0;49302.9444;0.05;42777.944;0.237916;130500;1;130500.0;SUM(O24:O24);4500.0;0.0;OK
5;2286.735259;NULL;59455.117;0.05;2972.75585;96614.563773;193229.13025;29727.558084;0.05;26754.802;0.3;59455.116723;1;59455.116723;ROUND(K25*M25+L25*N25,3);2286.735259;0.000277;OK
6;2286.735259;NULL;32014.294;0.05;1600.7147;73526.159779;104046.4555;22623.433778;0.05;21022.719;0.384766;32014.29362;1;32014.29362;ROUND(K26*M26+L26*N26,3);2286.735259;0.00038;OK
7;2134.286241;NULL;55491.442;0.05;2774.5721;97902.759763;180347.1865;30123.926081;0.05;27349.354;0.319444;55491.442274;1;55491.442274;ROUND(K27*M27+L27*N27,3);2134.286241;-0.000274;OK
8;2134.286241;NULL;55491.442;0.05;2774.5721;77291.65263;180347.1865;23782.046963;0.05;21007.475;0.265;55491.442274;1;55491.442274;ROUND(K28*M28+L28*N28,3);2134.286241;-0.000274;OK
9;2286.735259;NULL;59455.117;0.05;2972.75585;95326.369577;193229.13025;29331.190639;0.05;26358.435;0.296875;59455.116723;1;59455.116723;ROUND(K29*M29+L29*N29,3);2286.735259;0.000277;OK
10;1333.928901;NULL;8003.573405;0.0;0.0;0.0;26011.613566;0.0;0.0;0.0;0.0;8003.573405;1;8003.573405;SUM(O31:O31);1333.928901;0.0;OK
11;1333.928901;NULL;8003.573405;0.0;0.0;0.0;26011.613566;0.0;0.0;0.0;0.0;8003.573405;1;8003.573405;SUM(O33:O33);1333.928901;0.0;OK
12;1981.837224;NULL;19818.372;0.05;990.9186;39636.745265;64409.709;12195.92162;0.05;11205.003;0.35;19818.372241;1;19818.372241;ROUND(K34*M34+L34*N34,3);1981.837224;-0.000241;OK
13;762.245086;NULL;19818.372241;0.05;990.918612;59256.933002;64409.709783;18232.902462;0.05;17241.984;0.453125;19818.372241;1;19818.372241;M35*K35;762.245086;0.0;OK
14;762.245086;NULL;19818.372241;0.05;990.918612;59256.933002;64409.709783;18232.902462;0.05;17241.984;0.453125;19818.372241;1;19818.372241;M36*K36;762.245086;0.0;OK
15;762.245086;NULL;19818.372241;0.05;990.918612;59256.933002;64409.709783;18232.902462;0.05;17241.984;0.453125;19818.372241;1;19818.372241;M37*K37;762.245086;0.0;OK
16;762.245086;NULL;10671.431207;0.05;533.57156;31907.579308;34682.151423;9817.71671;0.05;9284.145;0.453125;10671.431207;1;10671.431207;M38*K38;762.245086;0.0;OK
17;2454.429178;NULL;63815.158616;0.05;3190.757931;35425.340379;207399.265502;10900.104732;0.05;7709.347;0.103183;21800.209465 + 27745.721137 + 14269.228013;3;63815.158616;SUM(O43:S45);2454.429178;0.0;OK
18;1227.214589;NULL;31907.579308;NULL;NULL;8373.262271;103699.632751;2576.388391;NULL;NULL;NULL;10900.104732 + 13872.860569 + 7134.614007;3;31907.579308;SUM(O47:O49);1227.214589;0.0;OK
19;2606.878195;NULL;67778.833064;0.05;3388.941653;35940.618058;220281.207458;11058.65171;0.05;7669.71;0.097285;21800.209465 + 25367.516468 + 11891.023345 + 8720.083786;4;67778.833064;SUM(O51:O54);2606.878195;0.0;OK
20;1364.418704;NULL;35474.886311;NULL;NULL;11529.338051;115293.380511;3547.488631;NULL;NULL;NULL;8918.267508 + 11891.023345 + 8720.083786 + 5945.511672;4;35474.886311;SUM(O56:O59);1364.418704;0.0;OK
21;1372.041155;NULL;35673.070034;0.05;1783.653502;57968.738805;115937.477611;17836.535017;0.05;16052.882;0.3;35673.070034;1;35673.070034;SUM(O61:O61);1372.041155;0.0;OK
