"id_ligne";"id_projet";"id_categorie";"id_personnel";"id_devise";"id_cout";"quantite_contrat";"pu_contrat_fcfa";"pu_contrat_exact";"montant_fcfa";"montant_eur";"quantite_revient";"pu_site";"pu_siege";"prix_total_eur"
"1";"1";"1";"1";"1";"1";"1.0000";"13284000.0000";"13283129.250000";"13284000.0000";"20251.327450";"1.0000";"15000.000000";NULL;"15000.000000"
"2";"1";"2";"2";"1";"2";"1.0000";"6888000.0000";"6887548.500000";"6888000.0000";"10500.688307";"1.0000";"8000.000000";NULL;"8000.000000"
"3";"1";"3";"3";"1";"3";"1.0000";"4428000.0000";"4427709.750000";"4428000.0000";"6750.442483";"1.0000";"5000.000000";NULL;"5000.000000"
"4";"1";"4";"4";"1";"4";"29.0000";"4067000.0000";"4066933.400000";"117943000.0000";"179802.944400";"29.0000";"4500.000000";NULL;"130500.000000"
"5";"1";"5";"5";"1";"5";"26.0000";"2250000.0000";"2250000.000000";"58500000.0000";"89182.675084";"26.0000";"2286.735259";NULL;"59455.117000"
"6";"1";"6";"6";"1";"6";"14.0000";"2560000.0000";"2560000.000000";"35840000.0000";"54637.727778";"14.0000";"2286.735259";NULL;"32014.294000"
"7";"1";"7";"7";"1";"7";"26.0000";"2160000.0000";"2160000.000000";"56160000.0000";"85615.368081";"26.0000";"2134.286241";NULL;"55491.442000"
"8";"1";"8";"8";"1";"8";"26.0000";"2000000.0000";"2000000.000000";"52000000.0000";"79273.488963";"26.0000";"2134.286241";NULL;"55491.442000"
"9";"1";"9";"9";"1";"9";"26.0000";"2240000.0000";"2240000.000000";"58240000.0000";"88786.307639";"26.0000";"2286.735259";NULL;"59455.117000"
"10";"1";"10";"10";"1";"10";"6.0000";"875000.0000";"874609.333333";"5250000.0000";"8003.573405";"6.0000";"1333.928901";NULL;"8003.573405"
"11";"1";"11";"11";"1";"11";"6.0000";"875000.0000";"874609.333333";"5250000.0000";"8003.573405";"6.0000";"1333.928901";NULL;"8003.573405"
"12";"1";"12";"12";"1";"12";"10.0000";"2100000.0000";"2100000.000000";"21000000.0000";"32014.293620";"10.0000";"1981.837224";NULL;"19818.372000"
"13";"1";"13";"13";"1";"13";"26.0000";"960000.0000";"960000.000000";"24960000.0000";"38051.274702";"26.0000";"762.245086";NULL;"19818.372241"
"14";"1";"14";"14";"1";"14";"26.0000";"960000.0000";"960000.000000";"24960000.0000";"38051.274702";"26.0000";"762.245086";NULL;"19818.372241"
"15";"1";"15";"15";"1";"15";"26.0000";"960000.0000";"960000.000000";"24960000.0000";"38051.274702";"26.0000";"762.245086";NULL;"19818.372241"
"16";"1";"16";"16";"1";"16";"14.0000";"960000.0000";"960000.000000";"13440000.0000";"20489.147917";"14.0000";"762.245086";NULL;"10671.431207"
"17";"1";"17";"17";"1";"17";"26.0000";"1885000.0000";"1885000.000000";"49010000.0000";"74715.263348";"26.0000";"2454.429178";NULL;"63815.158616"
"18";"1";"18";"18";"1";"18";"26.0000";"870000.0000";"870000.000000";"22620000.0000";"34483.967699";"26.0000";"1227.214589";NULL;"31907.579308"
"19";"1";"19";"19";"1";"19";"26.0000";"1989000.0000";"1989000.000000";"51714000.0000";"78837.484774";"26.0000";"2606.878195";NULL;"67778.833064"
"20";"1";"20";"20";"1";"20";"26.0000";"984500.0000";"984500.000000";"25597000.0000";"39022.374942";"26.0000";"1364.418704";NULL;"35474.886311"
"21";"1";"21";"21";"1";"21";"26.0000";"1350000.0000";"1350000.000000";"35100000.0000";"53509.605050";"26.0000";"1372.041155";NULL;"35673.070034"
"22";"1";"22";"22";"1";"22";"1.0000";"6061042.6800";"6061042.680000";"6061042.6800";"9240.000000";"1.0000";"8400.000000";NULL;"8400.000000"
"23";"1";"23";"23";"1";"23";"26.0000";"300000.0000";"300000.000000";"7800000.0000";"11891.023345";"26.0000";"381.122543";NULL;"9909.186000"
"24";"1";"24";"24";"1";"24";"26.0000";"1680000.0000";"1680000.000000";"43680000.0000";"66589.730729";"26.0000";"1829.388207";NULL;"47564.093000"
"25";"1";"25";"25";"1";"25";"3.0000";"25000000.0000";"25000000.000000";"75000000.0000";"114336.762928";"3.0000";"38112.254309";NULL;"114336.762928"
